horoscope,fengshui,luckycolour,hungry,food
5,3,1,0,chickenrice
4,3,1,0,chickenrice
4,3,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
4,2,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
4,3,1,0,chickenrice
4,3,1,0,chickenrice
4,3,1,0,chickenrice
5,4,1,0,chickenrice
5,4,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
4,3,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
5,4,1,0,chickenrice
5,4,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
4,3,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
4,2,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
4,3,1,0,chickenrice
5,3,1,0,chickenrice
5,3,1,0,chickenrice
7,3,4,1,fishsoup
6,3,4,1,fishsoup
6,3,4,1,fishsoup
5,2,4,1,fishsoup
6,2,4,1,fishsoup
5,2,4,1,fishsoup
6,3,4,1,fishsoup
4,2,3,1,fishsoup
6,2,4,1,fishsoup
5,2,3,1,fishsoup
5,2,3,1,fishsoup
5,3,4,1,fishsoup
6,2,4,1,fishsoup
6,2,4,1,fishsoup
5,2,3,1,fishsoup
6,3,4,1,fishsoup
5,3,4,1,fishsoup
5,2,4,1,fishsoup
6,2,4,1,fishsoup
5,2,3,1,fishsoup
5,3,4,1,fishsoup
6,2,4,1,fishsoup
6,2,4,1,fishsoup
6,2,4,1,fishsoup
6,2,4,1,fishsoup
6,3,4,1,fishsoup
6,2,4,1,fishsoup
6,3,5,1,fishsoup
6,2,4,1,fishsoup
5,2,3,1,fishsoup
5,2,3,1,fishsoup
5,2,3,1,fishsoup
5,2,3,1,fishsoup
6,2,5,1,fishsoup
5,3,4,1,fishsoup
6,3,4,1,fishsoup
6,3,4,1,fishsoup
6,2,4,1,fishsoup
5,3,4,1,fishsoup
5,2,4,1,fishsoup
5,2,4,1,fishsoup
6,3,4,1,fishsoup
5,2,4,1,fishsoup
5,2,3,1,fishsoup
5,2,4,1,fishsoup
5,3,4,1,fishsoup
5,2,4,1,fishsoup
6,2,4,1,fishsoup
5,2,3,1,fishsoup
5,2,4,1,fishsoup
6,3,6,2,rotiprata
5,2,5,1,rotiprata
7,3,5,2,rotiprata
6,2,5,1,rotiprata
6,3,5,2,rotiprata
7,3,6,2,rotiprata
4,2,4,1,rotiprata
7,2,6,1,rotiprata
6,2,5,1,rotiprata
7,3,6,2,rotiprata
6,3,5,2,rotiprata
6,2,5,1,rotiprata
6,3,5,2,rotiprata
5,2,5,2,rotiprata
5,2,5,2,rotiprata
6,3,5,2,rotiprata
6,3,5,1,rotiprata
7,3,6,2,rotiprata
7,2,6,2,rotiprata
6,2,5,1,rotiprata
6,3,5,2,rotiprata
5,2,4,2,rotiprata
7,2,6,2,rotiprata
6,2,4,1,rotiprata
6,3,5,2,rotiprata
7,3,6,1,rotiprata
6,2,4,1,rotiprata
6,3,4,1,rotiprata
6,2,5,2,rotiprata
7,3,5,1,rotiprata
7,2,6,1,rotiprata
7,3,6,2,rotiprata
6,2,5,2,rotiprata
6,2,5,1,rotiprata
6,2,5,1,rotiprata
7,3,6,2,rotiprata
6,3,5,2,rotiprata
6,3,5,1,rotiprata
6,3,4,1,rotiprata
6,3,5,2,rotiprata
6,3,5,2,rotiprata
6,3,5,2,rotiprata
5,2,5,1,rotiprata
6,3,5,2,rotiprata
6,3,5,2,rotiprata
6,3,5,2,rotiprata
6,2,5,1,rotiprata
6,3,5,2,rotiprata
6,3,5,2,rotiprata
5,3,5,1,rotiprata
